# Định dạng: ID | Tâm (Center_X, Center_Y) | Khung (BBox [x, y, w, h])
# Tất cả giá trị đều là tỉ lệ (0.0 - 1.0) so với kích thước thật của ảnh.
ID: 0 | Center: 0.1547, 0.0139 | BBox: [0.1432, 0.0046, 0.0229, 0.0185]
ID: 1 | Center: 0.0625, 0.0454 | BBox: [0.0505, 0.0380, 0.0240, 0.0148]
ID: 2 | Center: 0.0911, 0.0436 | BBox: [0.0797, 0.0361, 0.0229, 0.0148]
ID: 3 | Center: 0.0344, 0.0769 | BBox: [0.0203, 0.0695, 0.0281, 0.0148]
ID: 4 | Center: 0.1146, 0.0778 | BBox: [0.1005, 0.0695, 0.0281, 0.0167]
ID: 5 | Center: 0.3292, 0.0825 | BBox: [0.2859, 0.0695, 0.0865, 0.0259]
ID: 6 | Center: 0.3299, 0.1098 | BBox: [0.2854, 0.0899, 0.0891, 0.0399]
ID: 7 | Center: 0.3380, 0.1344 | BBox: [0.3167, 0.1223, 0.0427, 0.0241]
ID: 8 | Center: 0.0380, 0.1677 | BBox: [0.0182, 0.1585, 0.0396, 0.0185]
ID: 9 | Center: 0.1224, 0.1705 | BBox: [0.1099, 0.1622, 0.0250, 0.0167]
ID: 10 | Center: 0.1958, 0.1687 | BBox: [0.1849, 0.1603, 0.0219, 0.0167]
ID: 11 | Center: 0.3568, 0.1687 | BBox: [0.3422, 0.1603, 0.0292, 0.0167]
ID: 12 | Center: 0.6154, 0.1677 | BBox: [0.6021, 0.1585, 0.0266, 0.0185]
ID: 13 | Center: 0.2260, 0.3392 | BBox: [0.1990, 0.3281, 0.0542, 0.0222]
ID: 14 | Center: 0.3224, 0.3411 | BBox: [0.2719, 0.3281, 0.1010, 0.0259]
ID: 15 | Center: 0.4448, 0.3411 | BBox: [0.3917, 0.3281, 0.1062, 0.0259]
ID: 16 | Center: 0.2146, 0.3670 | BBox: [0.1990, 0.3559, 0.0312, 0.0222]
ID: 17 | Center: 0.6781, 0.5120 | BBox: [0.6323, 0.5005, 0.0917, 0.0232]
ID: 18 | Center: 0.2542, 0.5468 | BBox: [0.2104, 0.5338, 0.0875, 0.0259]
ID: 19 | Center: 0.6490, 0.5542 | BBox: [0.5938, 0.5431, 0.1104, 0.0222]
ID: 20 | Center: 0.6693, 0.5755 | BBox: [0.6536, 0.5681, 0.0312, 0.0148]
ID: 21 | Center: 0.6984, 0.5746 | BBox: [0.6880, 0.5663, 0.0208, 0.0167]
